编号,分类,Agent名称,AgentKey,入口函数,调用AI模型,用途,调用位置,所在文件
1,主演示编排,剧情编排师（Narrative Orchestrator）,narrative_orchestrator,runNarrativePlan(),storyOrchestratorModel,核心叙事编排引擎。输入对话历史+世界上下文+事件图，输出角色/旁白发言计划（role/roleType/motive/eventType等）,SessionService.ts→orchestrateSessionTurnInner()→runConcurrentSessionJudgeAndNarrative(),src/modules/game-runtime/engines/NarrativeOrchestrator.ts:4827
2,主演示编排,角色发言器（Story Speaker）,story_speaker,runStorySpeakerContent(),storySpeakerModel / storyFastSpeakerModel,给定编排师输出的role/motive，生成NPC或旁白的具体台词（流式）,NarrativeOrchestrator.ts:5054（编排后触发）、streamlines.ts,src/modules/game-runtime/engines/NarrativeOrchestrator.ts:4358
3,主演示编排,记忆管理器（Story Memory Manager）,story_memory_manager,runStoryMemoryManager() / refreshStoryMemoryBestEffort(),storyMemoryModel,根据当前叙事进展更新动态全局背景、提取事件摘要、NPC当前行为，维护"世界正在发生什么",NarrativeOrchestrator.ts:5705（编排后后台刷新）,src/modules/game-runtime/engines/NarrativeOrchestrator.ts:5097
4,主演示编排,意图分类器（Intent Classifier AI路径）,intent_classifier,classifyIntentWithAi(),intentClassifierModel,理解玩家输入，识别是否为正常对话/任务意图/退出意图/系统指令,IntentClassifier.ts:175,src/modules/game-runtime/agents/intentAnalyzer/IntentClassifier.ts:175
5,主演示编排,章节结局判定器（Chapter Outcome Judge）,chapter_outcome_judge,evaluateChapterOutcomeByAi(),storyChapterJudgeModel,判断当前叙事是否满足章节结束条件（success/failed/continue/guide），含规则兜底,ChapterRuntimeService.ts:469→evaluateRuntimeOutcome(),src/modules/game-runtime/services/ChapterRuntimeService.ts:469
6,主演示编排,事件进度判定器（Event Progress Judge）,event_progress_judge,evaluateEventProgressByAi(),storyEventProgressModel（fallback: storyChapterJudgeModel→storyOrchestratorModel）,AI检测当前章节事件是否已结束，生成进度摘要和事件事实。用于事件图推进,EventProgressRuntimeService.ts:530,src/modules/game-runtime/services/EventProgressRuntimeService.ts:530
7,主演示编排,存档智能对齐（Story Update Align）,story_update_align,runStoryUpdateAlignAgent(),storyMemoryModel,玩家长时间离开后，重新进入时用AI对齐存档摘要与近期事件，避免记忆丢失,SessionService.ts:5054,src/modules/game-runtime/agents/storyUpdateAlign/StoryUpdateAlignAgent.ts:94
8,任务模式,任务进度评估器（Task Progress Agent）,task_progress,evaluateTaskProgress(),storyEventProgressModel,判定当前意图对任务推进的影响（advance/retreat/stuck/clarify等）,TaskModeOrchestrator.ts:67；SessionService.ts:1552,src/modules/game-runtime/agents/taskMode/TaskProgressAgent.ts:336
9,任务模式,任务剧情编排师（Task Director Agent）,task_director,directTaskNarrative(),storyOrchestratorModel,根据进度等级编排任务中NPC/旁白的发言动机（motive）和事件类型,TaskModeOrchestrator.ts:93；SessionService.ts:1721,src/modules/game-runtime/agents/taskMode/TaskDirectorAgent.ts:218
10,任务模式,任务角色发言器（Task Speaker Agent）,task_speaker,generateTaskSpeech(),storyOrchestratorModel,给定Director的任务发言计划，生成NPC的具体台词（流式）,TaskModeOrchestrator.ts:109,src/modules/game-runtime/agents/taskMode/TaskSpeakerAgent.ts:172
11,任务模式,任务完成评估器（Task Completion Agent）,task_completion,evaluateTaskCompletion(),storyMemoryModel,评估任务是否成功/失败/放弃，生成完成旁白和后续建议,TaskModeOrchestrator.ts:174；SessionService.ts:1496/1615/1655,src/modules/game-runtime/agents/taskMode/TaskCompletionAgent.ts:228
12,小游戏,小游戏动作解析（Mini Game Intent）,mini_game_intent,analyzeMiniGameIntent(),storyMiniGameModel（fallback: storyEventProgressModel→storyOrchestratorModel）,解析玩家对小游戏的操作输入，返回程序可执行的指令,MiniGameIntentService.ts:202,src/modules/game-runtime/services/MiniGameIntentService.ts:202
13,小游戏,小游戏角色台词（Mini Game Mentor Speech）,mini_game_mentor_speech,buildMiniGameMentorSpeech(),storyMiniGameModel（fallback同MiniGameIntent）,为小游戏中的NPC角色生成引导台词,MiniGameController.ts:1034,src/modules/game-runtime/engines/MiniGameController.ts:1030
14,小游戏,小游戏卖出意图解析（Mini Game Sell Intent）,mini_game_sell_intent,resolveSellIntent(),storyMiniGameModel（fallback: storyEventProgressModel→storyOrchestratorModel）,解析玩家自然语言卖出指令（如"#卖出 青鱼"），匹配物品名称并计算价格,MiniGameSellService.ts:200,src/modules/game-runtime/services/MiniGameSellService.ts:200
